,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
282,2017,March,2 Eastern, Greater Shepparton,"6,307 ","9,621.1 "
283,2017,March,2 Eastern, Indigo,350 ,"2,142.9 "
284,2017,March,2 Eastern, Knox,"9,325 ","5,762.3 "
285,2017,March,2 Eastern, Latrobe,"10,349 ","13,815.6 "
286,2017,March,2 Eastern, Manningham,"4,064 ","3,270.3 "
287,2017,March,2 Eastern, Mansfield,470 ,"5,343.3 "
288,2017,March,2 Eastern, Maroondah,"7,070 ","6,078.0 "
289,2017,March,2 Eastern, Mitchell,"3,141 ","7,321.2 "
290,2017,March,2 Eastern, Moira,"1,377 ","4,643.9 "
291,2017,March,2 Eastern, Monash,"9,027 ","4,584.0 "
292,2017,March,2 Eastern, Murrindindi,525 ,"3,688.4 "
293,2017,March,2 Eastern, South Gippsland,"1,145 ","3,905.1 "
294,2017,March,2 Eastern, Strathbogie,462 ,"4,406.7 "
295,2017,March,2 Eastern, Towong,174 ,"2,881.3 "
296,2017,March,2 Eastern, Wangaratta,"1,877 ","6,505.4 "
297,2017,March,2 Eastern, Wellington,"3,224 ","7,360.6 "
298,2017,March,2 Eastern, Whitehorse,"6,616 ","3,818.5 "
299,2017,March,2 Eastern, Wodonga,"2,532 ","6,204.1 "
300,2017,March,2 Eastern, Yarra Ranges,"6,435 ","4,102.1 "
301,2017,March,2 Eastern,Total,"90,587 ","5,396.4 "
302,2017,March,3 Southern Metro, Bayside,"4,127 ","3,957.5 "
303,2017,March,3 Southern Metro, Cardinia,"5,200 ","5,078.0 "
304,2017,March,3 Southern Metro, Casey,"18,112 ","5,542.7 "
305,2017,March,3 Southern Metro, Frankston,"12,356 ","8,780.7 "
306,2017,March,3 Southern Metro, Glen Eira,"5,874 ","3,878.3 "
307,2017,March,3 Southern Metro, Greater Dandenong,"15,455 ","9,451.6 "
308,2017,March,3 Southern Metro, Kingston,"8,381 ","5,203.9 "
309,2017,March,3 Southern Metro, Mornington Peninsula,"8,945 ","5,459.8 "
310,2017,March,3 Southern Metro, Port Phillip,"10,492 ","9,481.6 "
311,2017,March,3 Southern Metro, Stonnington,"9,111 ","8,008.1 "
312,2017,March,3 Southern Metro,Total,"98,053 ","6,373.4 "
313,2017,March,4 Western, Ararat,910 ,"7,740.7 "
314,2017,March,4 Western, Ballarat,"9,218 ","8,743.9 "
315,2017,March,4 Western, Buloke,141 ,"2,272.4 "
316,2017,March,4 Western, Campaspe,"2,741 ","7,290.5 "
317,2017,March,4 Western, Central Goldfields,950 ,"7,225.4 "
318,2017,March,4 Western, Colac-Otway,"1,616 ","7,540.8 "
319,2017,March,4 Western, Corangamite,801 ,"4,941.4 "
320,2017,March,4 Western, Gannawarra,528 ,"4,995.7 "
321,2017,March,4 Western, Glenelg,"1,380 ","7,007.9 "
322,2017,March,4 Western, Golden Plains,590 ,"2,614.3 "
323,2017,March,4 Western, Greater Bendigo,"8,032 ","7,040.0 "
324,2017,March,4 Western, Greater Geelong,"18,085 ","7,359.8 "
325,2017,March,4 Western, Hepburn,723 ,"4,626.0 "
326,2017,March,4 Western, Hindmarsh,288 ,"5,036.7 "
327,2017,March,4 Western, Horsham,"1,756 ","8,830.8 "
328,2017,March,4 Western, Loddon,393 ,"5,235.1 "
329,2017,March,4 Western, Macedon Ranges,"1,643 ","3,393.1 "
330,2017,March,4 Western, Mildura,"5,216 ","9,459.2 "
331,2017,March,4 Western, Moorabool,"1,981 ","5,923.7 "
332,2017,March,4 Western, Mount Alexander,908 ,"4,705.4 "
333,2017,March,4 Western, Moyne,488 ,"2,906.0 "
334,2017,March,4 Western, Northern Grampians,933 ,"8,101.1 "
335,2017,March,4 Western, Pyrenees,360 ,"4,892.6 "
336,2017,March,4 Western, Queenscliffe,135 ,"4,562.4 "
337,2017,March,4 Western, Southern Grampians,"1,025 ","6,357.4 "
338,2017,March,4 Western, Surf Coast,"1,068 ","3,407.0 "
339,2017,March,4 Western, Swan Hill,"1,753 ","8,408.9 "
340,2017,March,4 Western, Warrnambool,"2,589 ","7,489.4 "
341,2017,March,4 Western, West Wimmera,123 ,"3,158.7 "
342,2017,March,4 Western, Yarriambiack,330 ,"4,937.2 "
343,2017,March,4 Western,Total,"66,704 ","6,795.8 "
344,2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,126 ",
345,2017,March,Justice Institutions and Immigration Facilities,Total,"1,126 ",
346,2017,March,Unincorporated Vic, Unincorporated Vic,126 ,
347,2017,March,Unincorporated Vic,Total,126 ,
348,2016,March,1 North West Metro, Banyule,"7,225 ","5,669.0 "
349,2016,March,1 North West Metro, Brimbank,"14,972 ","7,332.4 "
350,2016,March,1 North West Metro, Darebin,"11,892 ","7,666.0 "
351,2016,March,1 North West Metro, Hobsons Bay,"5,544 ","5,932.9 "
352,2016,March,1 North West Metro, Hume,"15,602 ","7,535.7 "
353,2016,March,1 North West Metro, Maribyrnong,"7,178 ","8,256.1 "
354,2016,March,1 North West Metro, Melbourne,"25,675 ","17,574.1 "
355,2016,March,1 North West Metro, Melton,"8,792 ","6,216.9 "
356,2016,March,1 North West Metro, Moonee Valley,"7,063 ","5,748.3 "
357,2016,March,1 North West Metro, Moreland,"11,176 ","6,486.6 "
358,2016,March,1 North West Metro, Nillumbik,"2,092 ","3,259.9 "
359,2016,March,1 North West Metro, Whittlesea,"11,095 ","5,358.4 "
360,2016,March,1 North West Metro, Wyndham,"11,954 ","5,265.9 "
361,2016,March,1 North West Metro, Yarra,"10,384 ","11,178.3 "
362,2016,March,1 North West Metro,Total,"150,644 ","7,355.6 "
363,2016,March,2 Eastern, Alpine,328 ,"2,607.7 "
364,2016,March,2 Eastern, Bass Coast,"2,023 ","6,045.3 "
365,2016,March,2 Eastern, Baw Baw,"2,652 ","5,379.7 "
366,2016,March,2 Eastern, Benalla,891 ,"6,372.5 "
367,2016,March,2 Eastern, Boroondara,"6,146 ","3,466.9 "
368,2016,March,2 Eastern, East Gippsland,"3,278 ","7,188.6 "
369,2016,March,2 Eastern, Greater Shepparton,"5,670 ","8,713.4 "
370,2016,March,2 Eastern, Indigo,383 ,"2,369.3 "
371,2016,March,2 Eastern, Knox,"7,686 ","4,793.2 "
372,2016,March,2 Eastern, Latrobe,"9,374 ","12,562.0 "
373,2016,March,2 Eastern, Manningham,"3,403 ","2,776.4 "
374,2016,March,2 Eastern, Mansfield,416 ,"4,795.9 "
375,2016,March,2 Eastern, Maroondah,"6,063 ","5,281.4 "
376,2016,March,2 Eastern, Mitchell,"2,980 ","7,130.0 "
377,2016,March,2 Eastern, Moira,"1,189 ","4,032.4 "
378,2016,March,2 Eastern, Monash,"7,876 ","4,088.8 "
379,2016,March,2 Eastern, Murrindindi,569 ,"4,049.2 "
380,2016,March,2 Eastern, South Gippsland,892 ,"3,063.0 "
381,2016,March,2 Eastern, Strathbogie,400 ,"3,862.1 "
382,2016,March,2 Eastern, Towong,181 ,"2,993.7 "
383,2016,March,2 Eastern, Wangaratta,"1,667 ","5,830.3 "
