Suburb,Postcode,LGA_ID,LGA_Name
Kings Park,3021,118,Brimbank
St Helena,3088,66,Banyule
Vermont,3133,367,Knox
Greensborough North,3088,571,Nillumbik
Sunshine South West,3020,118,Brimbank
Geelong,3221,275,Greater
Traralgon West,3844,381,Latrobe
Rhyll,3923,74,Bass
Hoppers Crossing North,3029,726,Wyndham
Wonga Park,3115,441,Maroondah
Lalor West,3075,707,Whittlesea
Belgrave Heights,3160,745,Yarra
Knox City Centre,3152,367,Knox
Leneva,3691,717,Wodonga
Delacombe,3356,57,Ballarat
Dallas,3048,327,Hume
Wodonga West,3689,717,Wodonga
Werribee North,3030,726,Wyndham
Glenroy,3046,327,Hume
Geelong,3215,275,Greater
Bundoora,3083,189,Darebin
Tynong,3813,145,Cardinia
Freshwater Creek,3216,649,Surf
Melbourne,3000,460,Melbourne
Campbellfield,3061,707,Whittlesea
Lovely Banks,3221,275,Greater
Richmond,3121,267,Greater
Shepparton North,3631,283,Greater
Richmond North,3121,735,Yarra
Mt Martha,3934,534,Mornington
North Fitzroy,3068,735,Yarra
Daylesford,3461,291,Hepburn
Langwarrin South,3911,217,Frankston
Derrimut,3026,118,Brimbank
Bangholme,3175,267,Greater
Koonwarra,3954,617,South
Epping North,3076,707,Whittlesea
Werribee Plaza,3030,726,Wyndham
Truganina South,3029,726,Wyndham
Richmond,3121,460,Melbourne
Koonwarra,3954,74,Bass
Rosebud West,3939,534,Mornington
Fitzroy,3065,217,Frankston
